Ref	Designation Text	J	H	K	SpType	SpTpye String	IRTF obs	IRTF Tel	IRTF File	Obs	Telescope	Instrument	Filename	Young?	Dusty?	Blue?	Multiple?	Pec?
11756	18 07 15.9 +50 15 31	12.934	12.13	11.602	11.5	L1.5	#Aug-03	IRTF	U11756_1807+5015.fits	July-01	KP 4m		U11756_1807+5015.fits	No	No	No	No	No
12054	20 57 54.0 -02 52 30	13.121	12.27	11.724	11.5	L1.5:	#Sep-03	IRTF	U12054_2057-0252.fits	July-01	KP 4m		U12054_2057-0252.fits	No	No	No	No	No
12147	22 38 07.4 +43 53 17	13.84	13.05	12.52	11.5	L1.5	Dec-11	IRTF	U12147_2238+4353.fits	July-01	KP 4m		U12147_2238+4353.fits	No	No	No	No	No
20037	00 45 21.43 +16 34 44.6	13.059	12.06	11.366	12	L1.5γ	#Adam	IRTF	U20037_2M0045+1634_adam.fits	July-03	KP 4m		U20037.fits	Yes	No	No	No	No
20012	00 15 44.76 +35 16 02.6	13.878	12.89	12.264	12	L2	Adam	IRTF	spex_prism_0015+3516_080908.fits	known	Keck	LRIS	U20012_j0015448_351603_davy.fits	No	No	No	No	No
20048	00 55 05.64 +01 34 36.5	16.436	15.27	14.438	12	L2γ	Sep-03	IRTF no opt	U20048.fits	Oct-09	Keck I	LRIS	U20048_0055+0134.fits	Yes	No	No	No	No
10142	02 41 53.6 -12 41 06	15.605	14.65	13.931	12	L2:	#Aug-06	IRTF	U10142_0241-1241_BUR08B.fits	Jan-02	CT 4m		U10142.fits	No	No	No	No	No
10244	04 08 29.0 -14 50 33	14.222	13.34	12.817	12	L2	Dec-11	IRTF	U10244_0408-1450.fits	Jan-02	CT 4m		U10244.fits	No	No	No	No	No
10329	04 45 53.8 -30 48 20	13.393	12.58	11.975	12	L2pec	#Nov-04	IRTF	U10329.fits	Jan-02	CT 4m		U10329.fits	No	No	No	No	Yes
10397	05 36 19.9 -19 20 39	15.768	14.69	13.854	12	L2γ	#Sep-03	IRTF	U10397.fits	Feb-09	Keck I	LRIS	U10397_0536-19.fits	Yes	No	No	No	No
20240	06 16 05.32 -45 57 08.0	15.157	14.26	13.598	12	L2	Dec-11	IRTF	U20240_0616-4557.fits	GS-04B	GS	GMOS	U20240.fits	No	No	No	No	No
20298	08 23 08.38 +61 25 20.8	14.82	13.81	13.196	12	L2:	Dec-11	IRTF	U20298_0823+6125.fits	Feb-04	KP 4m		u20298.fits	No	No	No	No	No
20307	08 35 58.29 +05 48 30.8	14.533	13.68	13.168	12	L2:	Dec-11	IRTF	U20307_0835+0548.fits	Feb-04	KP 4m		u20307.fits	No	No	No	No	No
10764	08 47 28.7 -15 32 37	13.513	12.63	12.061	12	L2pec	#Nov-04	IRTF	U10764.fits	&Feb-04	KP 4m		u10764.fits	No	No	No	No	Yes
10828	09 28 39.7 -16 03 12	15.322	14.29	13.615	12	L2	Dec-11	IRTF	U10828_0928-1603.fits	known	Keck	LRIS	U10828_j0928-1603_davy.fits	No	No	No	No	No
10893	10 17 07.5 +13 08 39	14.096	13.28	12.71	12	L2:	Dec-11	IRTF	U10893_1017+1308.fits	Jan-02	KP 4m		U10893_1017+1308.fits	No	No	No	Yes	No
11076	12 31 21.4 +49 59 23	14.617	13.71	13.135	12	L2	Dec-11	IRTF	U11076_1231+4959.fits	Feb-04	KP 4m		u11076_1231+4959.fits	No	No	No	No	No
51060	13 02 38.11 +56 50 21.2	16.36	15.47	14.972	12	L2	Adam	IRTF	U51060_1302+5650_KIR10A.fits	Davy	Keck I	LRIS	U51060_1302+5650_notell.fits	No	No	No	No	No
11122	13 05 40.1 -25 41 06	13.414	12.39	11.747	12	L2	#Adam	IRTF	spex_prism_kelu-1_060411.fits	known	Keck II	LRIS	U11122_1305-2541_kelu1_lris.fits	No	No	No	Yes	No
